year,ZALOPHUS.PUPCT,ZALOPHUS.PUPWT,ZALOPHUS.PUPGROWTH,SBRD.ASSP.PROD,SBRD.BRCO.PROD,SBRD.CAAU.PROD,SBRD.COMU.PROD,SBRD.PECO.PROD,SBRD.PIGO.PROD,SBRD.RHAU.PROD,SBRD.WEGO.PROD,rreas.adu.anchovy,rreas.adu.sardine,rreas.all.yoy.rockfish,rreas.krill,rreas.market.squid,rreas.myctophids,rreas.octopus,rreas.yoy.anchovy,rreas.yoy.bocaccio,rreas.yoy.chili,rreas.yoy.hake,rreas.yoy.halfbanded,rreas.yoy.lingcod,rreas.yoy.pacdabs,rreas.yoy.sardine,rreas.yoy.shortbelly,rreas.yoy.speckdabs,rreas.yoy.widow,rreas.yoy.ytail,calcofi.bathylagoides.wesethi,calcofi.bathylagus.pacificus,calcofi.ceratoscopelus.townsendi,calcofi.engraulis.mordax,calcofi.leuroglossus.stilbius,calcofi.lipolagus.ochotensis,calcofi.merluccius.productus,calcofi.protomyctophum.crockeri,calcofi.sardinops.sagax,calcofi.stenobrachius.leucopsarus,calcofi.symbolophorus.californiensis,calcofi.tarletonbeania.crenularis,calcofi.triphoturus.mexicanus,calcofi.vinciguerria1
2000,19880,17.13,0.078,0.00223809,0.84958387,0.09830361,0.123063226,0.203883495,0.39040587,0.101234568,-0.383732123,7.035782254,5.759153305,8.084562647,15.97512589,8.250466668,9.184471813,6.203781824,4.0759199,4.398412873,5.019122321,10.74179324,,,6.727501847,,8.419713315,5.273838443,4.582972766,2.936069936,2.68330673,0.346945024,1.969025727,62.14168492,17.70986349,13.19726109,12.71249145,2.525726472,113.7975789,44.61331901,4.59479534,5.264121327,0.671386998,1.576020204
2001,19806,16.06,0.093,0.043107,0.54355959,0.302957808,0.117744323,1.27184466,0.51393146,0.07654321,-0.675742574,5.438550036,5.680667913,8.645946657,16.57071971,9.806490217,7.955949149,6.352540732,6.888576186,4.452859053,6.279095411,11.16748964,4.726981335,,7.727797268,,8.516420176,7.690363213,5.697295572,3.793327712,6.865673166,0.15702077,1.91780029,99.42073246,19.60086192,5.774393507,7.410003996,3.707573585,145.2279654,14.60932516,2.92641808,0.654637843,1.469286609,8.102323964
2002,21447,17.01,0.044,-0.0767751,0.5800565,0.4169204,0.074406827,1.601941748,0.64776632,0.051851852,-0.064768977,2.711058003,4.70553941,8.384459799,14.04777893,9.226404792,9.19647358,4.867692334,3.067630209,4.568800602,7.085672533,11.28933396,2.264742897,,8.43436174,,7.033605053,8.0050267,6.916882567,4.469657381,2.41579177,0.144777221,1.01574145,48.276381,36.12716208,24.56550379,68.0308636,4.729970739,76.82888591,56.92320187,3.610595986,1.924473913,0.757958624,1.118888345
2003,16302,18.266,0.08,0.11394643,-0.4106284,0.144410613,0.025565423,1.233009709,0.12176094,-0.116049383,-0.176223872,4.990567645,3.895546809,7.152141729,16.12537944,7.529798543,10.91783556,6.646217819,3.988060497,1.719709611,5.83157071,10.83717523,,,6.873922427,,5.772350133,4.874354685,6.187338233,4.456791,1.417263132,0.062610538,0.596135014,23.17909706,3.406538966,6.426968061,2.792614043,3.596377974,123.7492068,25.36041658,3.02797701,1.044773491,1.070421093,2.333721623
2004,18961,20.634,0.072,-0.0686013,0.76086127,-0.128153545,0.156132926,1.310679612,0.58549271,0.04691358,0.337389989,8.733478013,6.278644254,8.228234857,14.69192171,7.811493409,11.02937984,5.438313456,5.739242997,3.541169835,6.838357718,12.72310665,1.337301265,,7.237667971,,7.71833841,5.4989225,6.066043167,5.857295342,3.347881613,0.050817068,1.747874812,23.56363514,22.90853411,11.55235899,8.70578319,4.883840259,8.791799143,27.72056863,2.978159927,0.379889644,1.506534894,5.567918693
2005,21486,19.987,0.083,-0.1121948,0.54523937,-0.718790779,-0.186150039,-1,-0.3838116,-0.239506173,-0.176911441,9.351328602,7.563906444,4.583210384,14.72338209,5.883745583,10.37024374,2.463044876,5.06806442,,0.278007685,6.366428329,,,5.36935337,,3.868464464,4.649045698,,,3.894433428,0.219594338,0.932770151,461.5817129,14.41179406,9.559732679,18.92880092,3.52019191,180.3520346,18.64675978,3.321621119,0.186874275,2.350054883,3.366151632
2006,20477,18.717,0.066,-0.2538737,0.65366114,-0.718518921,-0.300136441,-0.902912621,-0.5592551,-0.145679012,0.086908691,9.835020602,7.685588003,5.694261675,15.25569139,4.198276512,9.752148184,3.724006958,,,3.331425393,7.19938279,,,4.904938217,,5.401461327,3.844172314,,1.428776246,2.528803171,0.301935417,1.834058272,64.26233405,28.87044079,6.135537795,7.737853392,4.252518841,86.73058291,17.74290285,3.850660292,0.123479416,2.848521113,3.697682621
2007,25290,18.925,0.076,-0.1285424,0.72604413,-0.366137451,0.123826373,-0.86407767,-0.363611,-0.037037037,0.197676018,9.594437763,7.74940646,6.3662924,16.27865056,5.813638363,9.427864517,4.255683016,4.609084383,2.479368469,2.35116495,8.459081582,,,5.184572913,,6.170471479,4.827707886,2.371810765,0.222131817,1.200424759,0.104318225,2.071954602,11.6363207,14.00413403,5.044936489,2.0339265,3.584727207,128.9403624,11.57133422,2.895034124,0.381071507,1.132522761,1.292395386
2008,25733,17.731,0.057,-0.1421654,-1.0396274,-0.070302305,0.102227002,-0.59223301,-0.1369462,0.150617284,-0.149821232,4.697266679,7.979640065,6.863347645,16.93350687,6.877224106,10.83319147,5.351024309,,4.315219479,4.551669583,9.897037436,3.349361827,,4.943692834,,4.430186113,5.67549327,6.34156625,4.595814388,2.431611683,,1.411787733,8.638258673,11.87434145,1.923746979,1.494912007,4.292047745,146.7814974,40.58243638,4.495295582,0.524898984,1.802343311,1.209879289
2009,12807,15.14,0.064,-0.0386308,-1.4176529,0.202588082,-0.549801119,0.805825243,-0.0856785,0.037037037,-0.677874037,3.924725458,6.26163037,8.717070317,16.40113985,7.282576641,11.69308277,5.628623827,,4.381588722,8.386633225,10.63211212,2.662932883,,4.857974292,5.285596775,7.265126242,5.830590427,6.633711398,5.556057532,3.795139867,0.180903921,1.475132329,18.34553982,9.574663203,3.404104949,3.467552005,6.137006876,82.13400869,28.9681316,3.517008437,1.028258243,2.709564959,2.461806797
