Year,Month,Area,Max,x,y
1987,11,3343929.345,1022.469482,19.40055249,28.32044199
1987,12,3242179.985,1023.898621,22.28695652,27.73913043
1988,1,1414637.545,1021.909424,27.21604938,26.95061728
1988,2,2956209.976,1026.526611,24.43939394,32.77575758
1988,3,6262935.863,1027.244263,19.59938367,28.61325116
1988,4,3729794.064,1024.296753,13.19395466,28.68765743
1988,5,5802538.265,1025.140137,17.22591362,29.00996678
1988,6,5606941.226,1024.655396,16.38632479,29.28034188
1988,7,5015534.644,1024.819336,16.11559633,32.14862385
1988,8,4286896.624,1024.995117,14.12869198,33.27004219
1988,9,3498218.09,1023.308105,15.32828283,34.11868687
1988,10,165222.2505,1019.450317,27.17857143,31.64285714
1988,11,4345639.261,1023.77948,18.39824945,28.45076586
1988,12,4560499.65,1025.970581,23.52469136,30.31069959
1989,1,6878316.463,1030.08313,18.89958159,29.9776848
1989,2,4376984.25,1025.087524,23.61392405,31.30590717
1989,3,614800.3853,1021.319458,29.90789474,25.17105263
1989,4,3532698.977,1023.651855,16.75062344,29.53865337
1989,5,6388098.528,1025.796143,17.45266272,31.55473373
1989,6,4912567.467,1024.21167,15.10506567,31.98499062
1989,7,6124901.211,1029.732544,16.62787136,31.7856049
1989,8,4785868.239,1028.520264,15.7418738,32.98087954
1989,9,2594035.526,1024.050293,14.61258278,34.04966887
1989,10,2244295.053,1022.408936,21.13229572,32.24124514
1989,11,2012629.087,1023.152588,26.67659574,33.69787234
1989,12,1762304.805,1023.585571,28.73891626,32.7044335
1990,1,4330972.935,1023.993835,20.09574468,31.00851064
1990,2,5702829.02,1025.193237,18.07479675,32.16097561
1990,3,4056586.278,1023.792236,19.01385681,27.78290993
1990,4,2786401.752,1021.63678,22.46103896,29.20779221
1990,5,5492127.467,1025.227783,15.76870748,31.30102041
1990,6,5987798.766,1025.869263,16.08201893,31.10725552
1990,7,4171374.228,1024.004272,14.33405172,33.5625
1990,8,4086730.993,1024.71167,14.5,33.01106195
1990,9,3451389.859,1023.306274,15.54871795,33.08461538
1990,10,4763597.718,1023.572021,16.53831418,32.68007663
1990,11,4985328.694,1025.689819,19.34432234,32.97802198
1990,12,4775886.77,1028.008179,19.79423077,32.78653846
1991,1,1523775.959,1022.931274,28.93956044,33.52747253
1991,2,454868.4408,1021.164063,31.51666667,29.16666667
1991,3,4826911.357,1027.245972,13.29651163,30.61627907
1991,4,6210019.985,1025.416138,18.18894009,30.13056836
1991,5,6004284.831,1026.806519,18.17084639,31.17711599
1991,6,5539983.091,1026.788086,16.39130435,32.34615385
1991,7,4885111.06,1024.82373,16.46542056,33.18317757
1991,8,4882388.411,1023.518494,15.89642185,32.52730697
1991,9,1571500.685,1022.96936,21.72395833,35.82291667
1991,10,1633394.51,1023.503113,21.49748744,36.11055276
1991,11,3102103.159,1024.710815,24.57522124,30.08554572
1991,12,2678576.7,1021.892212,16.52027027,29.27027027
1992,1,494716.3545,1020.80896,27.140625,27.40625
1992,2,33411.67445,1016.888306,33.55555556,23.22222222
1992,3,2146731.309,1022.006958,11.34482759,25.89655172
1992,4,823666.6073,1021.163452,28.3030303,26.58585859
1992,5,471694.9827,1021.018127,27.71621622,36.51351351
1992,6,4011646.065,1024.156372,15.0940367,31.47706422
1992,7,4328369.654,1027.087769,15.02922756,33.63674322
1992,8,5029078.515,1024.160034,15.79487179,32.5989011
1992,9,2551101.762,1022.896667,14.63087248,35.39261745
1992,10,31821.10129,1018.784363,19.7,28.6
1992,11,1908278.965,1022.743652,27.15668203,30.8202765
1992,12,5405758.628,1026.228149,17.24137931,31.56206897
1993,1,11227.33927,1017.850952,33.5,22.5
1993,2,0,1017.596008,34,22.5
1993,3,2577487.097,1022.05188,21.24475524,25.22727273
1993,4,4572650.954,1024.184448,18.28541226,26.6807611
1993,5,1329659.843,1022.107117,7.350993377,27.67549669
1993,6,4196309.721,1023.850098,16.26373626,31.22637363
1993,7,4846554.726,1028.086914,15.85714286,33.16541353
1993,8,4446112.257,1026.053711,15.89613035,33.50916497
1993,9,2293018.877,1025.300537,19.63970588,35.48897059
1993,10,154093.32,1019.477173,23.10344828,36.86206897
1993,11,3751627.369,1024.634155,15.33642691,34.80278422
1993,12,4274466.616,1023.612976,18.22444444,28.14666667
1994,1,1850785,1022.694458,28.11904762,30.04761905
1994,2,2295932.716,1022.197876,13.52895753,30.23938224
1994,3,4721757.246,1022.942566,17.80527383,28.34888438
1994,4,5516005.242,1025.377441,17.73519164,28.89372822
1994,5,5643215.15,1025.422485,17.47217538,29.7386172
1994,6,5741789.592,1026.843628,16.52922078,32.05519481
1994,7,5082470.097,1026.313599,16.12477396,32.91139241
1994,8,4853896.062,1026.863892,16.10922787,33.02071563
1994,9,3461237.696,1023.547607,15.71979434,33.58611825
1994,10,2023926.718,1022.468689,19.42735043,32.55128205
1994,11,6602410.711,1028.661499,17.4978355,30.68542569
1994,12,4484910.467,1023.596558,17.99568966,26.70689655
1995,1,45416.12461,1019.436951,32.90909091,21.09090909
1995,2,73385.81486,1019.722656,33.27777778,29.5
1995,3,0,1019.790405,33.66666667,24.66666667
1995,4,4229195.325,1023.217957,17.66814159,29.20353982
1995,5,4367308.163,1022.931335,17.58350951,31.08668076
1995,6,4934505.608,1024.597168,17.49809886,30.35551331
1995,7,4710509.422,1027.464478,14.87329435,32.86549708
1995,8,4338623.601,1029.870483,13.98319328,33.02731092
1995,9,30566.21916,1020.134216,25.27272727,32.45454545
1995,10,4214765.474,1023.736572,17.14038877,32.15550756
1995,11,1955728.923,1022.023193,26.40825688,28.50917431
1995,12,1903633.952,1022.828125,26.73039216,24.78921569
1996,1,1849539.217,1023.020264,27.68472906,27.25123153
1996,2,67090.30014,1019.206482,33,23
1996,3,360942.0691,1020.611572,31.6875,25.54166667
1996,4,3498437.647,1022.925293,20.41509434,26.18328841
1996,5,2926486.037,1021.379395,22.92774566,32.55780347
1996,6,5867659.273,1026.177368,16.92197452,32.00318471
1996,7,5319239.664,1027.389648,15.71602787,32.29094077
1996,8,4193387.069,1024.115845,16.24145299,33.92735043
1996,9,2178988.224,1022.170105,18,33.56126482
1996,10,2692353.308,1022.897034,21.39464883,30.909699
1996,11,1471747.682,1021.999634,27.37125749,28.8742515
1996,12,217760.9836,1020.530701,32,26.0625
1997,1,1028141.46,1022.365601,30.3220339,25.46610169
1997,2,4832550.706,1026.654907,22.52723735,29.71789883
1997,3,4969135.565,1024.97937,20.03225806,29.47628083
1997,4,3729156.324,1024.301147,23.76455696,28.36455696
1997,5,0,1018.754517,31,27
1997,6,4834617.211,1025.564453,15.38223938,31.00772201
1997,7,4955106.13,1025.495483,15.88333333,33.00925926
1997,8,3384189.082,1024.314575,12.8,33.47894737
1997,9,1154773.098,1021.054688,10.44285714,31.43571429
1997,10,2797248.664,1023.312561,19.69871795,31.54166667
1997,11,282813.7016,1022.044312,2.813953488,29.97674419
1997,12,3880155.975,1022.244385,18.23913043,27.9589372
1998,1,0,1020.013672,33,24
1998,2,1590388.101,1020.695923,16.49723757,21.85635359
1998,3,2894039.307,1021.721802,19.96141479,25.66881029
1998,4,7302817.262,1028.805908,16.90279627,28.94141145
1998,5,6334808.881,1030.209229,15.39366516,29.84917044
1998,6,6137984.229,1030.799438,16.43251534,31.4493865
1998,7,5718876.74,1026.281982,15.90507365,31.76759411
1998,8,5471906.615,1026.076538,16.23011844,32.48054146
1998,9,3582285.838,1023.615479,12.51256281,33.29145729
1998,10,4919947.453,1024.400879,16.3110687,30.42748092
1998,11,4493221.603,1024.011963,17.63519313,27.26824034
1998,12,6924567.217,1029.407227,19.60448808,28.58485273
1999,1,4841691.951,1024.602661,20.63654224,28.40471513
1999,2,5594855.812,1025.767456,18.52920354,25.41415929
1999,3,5784902.76,1027.224487,15.96,28.395
1999,4,7665317.265,1029.369385,17.55555556,29.84090909
1999,5,6671644.642,1028.249634,18.64234621,30.53361946
1999,6,5602922.354,1025.449097,16.71669477,30.72006745
1999,7,5448534.38,1031.071045,16.03571429,32.34693878
1999,8,5011023.295,1023.913818,14.62569832,31.32402235
1999,9,3922254.399,1024.728516,15.12585812,32.93592677
1999,10,3634286.418,1021.245544,16.14540816,29.86989796
1999,11,2861232.189,1023.861816,14.57453416,27.69875776
1999,12,4739292.739,1028.184814,23.28628231,30.06163022
2000,1,5006722.089,1023.12323,17.2756654,27.78326996
2000,2,3251000.621,1022.172241,18.16617211,23.41839763
2000,3,5859897.477,1025.62915,19.19572368,28.37828947
2000,4,5695936.723,1026.003662,15.93378608,28.12224109
2000,5,4187241.32,1023.824402,17.91196388,28.40857788
2000,6,4325988.088,1024.411499,15.90566038,32.75890985
2000,7,5739406.112,1028.70105,17.04376013,32.27552674
2000,8,4706214.995,1028.996826,15.86100386,33.32432432
2000,9,2323402.737,1023.212097,17.2804428,34.43173432
2000,10,3789689.715,1023.85498,16.07506053,31.15012107
2000,11,4760327.494,1024.71167,19.96055227,29.6765286
2000,12,2010278.158,1021.358826,26.40444444,27.98666667
2001,1,3477281.557,1023.990295,23.52762431,25.72099448
2001,2,4350546.594,1023.15741,18.23142251,29.87685775
2001,3,5054205.752,1023.172791,19.43283582,29.2238806
2001,4,7124090.494,1028.793945,17.12313938,29.9120433
2001,5,5154228.184,1024.723633,17.48288288,31.51171171
2001,6,5156295.694,1025.052246,16.59074733,33.02491103
2001,7,5158499.321,1029.093262,16.19572954,32.80960854
2001,8,4280928.554,1024.547485,14.78064516,31.44086022
2001,9,1532497.633,1020.24292,11.48648649,31.68108108
2001,10,4133769.897,1023.889282,15.26781857,33.91792657
2001,11,21900.55754,1020.053772,32.71428571,25.42857143
2001,12,2753598.773,1022.970886,22.8,27.26779661
2002,1,3589153.972,1024.263794,23.83589744,30.1025641
2002,2,4749790.79,1024.160034,20.50295858,28.98422091
2002,3,5003903.807,1023.9646,21.35393258,30.07677903
2002,4,4565727.364,1024.751465,21.68356998,31.69979716
2002,5,4345080.958,1023.451904,20.26793249,31.12658228
2002,6,4235081.101,1024.040771,17.93681917,30.87363834
2002,7,4965297.016,1026.213989,15.39667897,32.82287823
2002,8,4331137.619,1025.377686,16.39085239,33.60914761
2002,9,2417927.773,1022.535767,15.19928826,34.54448399
2002,10,1913372.51,1022.906006,23.54867257,34.1460177
2002,11,416635.7719,1020.516235,30.05454545,28.14545455
2002,12,2319626.413,1021.95282,19.96862745,24.48235294
2003,1,281202.6979,1021.19696,32.42857143,26.95238095
2003,2,1809521.466,1021.764587,21.01363636,33.29545455
2003,3,2290863.869,1022.102661,24.87903226,26.78629032
2003,4,5859963.528,1026.730591,15.79153094,29.53420195
2003,5,5259189.581,1024.03833,17.82352941,30.46167558
2003,6,3567999.492,1023.19165,15.9875,32.9775
2003,7,5202237.427,1025.147095,16.16814159,32.74336283
2003,8,4914895.309,1025.559204,15.45131086,32.82771536
2003,9,1924684.311,1022.804871,17.66375546,34.10043668
2003,10,502897.7935,1020.5849,24.24242424,30.03030303
2003,11,3919661.817,1030.302979,16.06772009,33.54401806
2003,12,864831.4686,1021.019348,27.98019802,25.47524752
2004,1,1048923.474,1021.843567,29.67213115,26.78688525
2004,2,1564804.645,1021.736816,26.96511628,25.44767442
2004,3,4959074.604,1024.627441,19.74814815,30.81851852
2004,4,4423961.057,1023.23938,19.46008403,29.51470588
2004,5,4465358.675,1023.343811,19.97137014,32.32515337
2004,6,5439622.381,1024.481445,17.84760274,31.56164384
2004,7,4357628.701,1025.025757,15.18371608,33.27557411
2004,8,3790300.926,1022.055603,14.63182898,33.20902613
2004,9,3704950.251,1023.908569,15.40334129,34.60381862
2004,10,2970509.029,1022.746094,14.0922619,33.30654762
2004,11,4647010.139,1026.773926,22.64,31.284
2004,12,3665191.805,1022.840393,21.97704082,29.51020408
2005,1,153953.8499,1020.182739,32.17391304,25
2005,2,160890.8131,1020.631653,2.923076923,27.65384615
2005,3,1608401.607,1022.336243,28.19886364,25.41477273
2005,4,6262364.332,1025.469238,17.21932515,29.66564417
2005,5,2015055.291,1021.34729,19.44978166,27.16593886
2005,6,5650589.681,1027.578125,15.65448505,31.38372093
2005,7,5262185.95,1025.540039,15.24338624,32.21869489
2005,8,3975054.97,1023.215454,15.97986577,34.11856823
2005,9,5072809.799,1027.772583,16.48007246,32.9076087
2005,10,4396933.736,1023.596619,15.96170213,29.88723404
2005,11,4306479.159,1024.476929,23.22077922,30.92640693
2005,12,756198.7137,1021.565918,30.10989011,25.41758242
2006,1,4914094.382,1025.102295,19.18737673,26.73175542
2006,2,5328179.005,1023.494141,18.4760274,32.74657534
2006,3,5195983.172,1026.560669,16.8384755,29.40108893
2006,4,5658628.162,1028.783936,14.6952862,29.54377104
2006,5,5655004.091,1024.255005,16.45936982,31.24378109
2006,6,5300484.535,1024.652466,16.55574913,32.30487805
2006,7,5083014.177,1025.249512,15.38698011,32.70705244
2006,8,4782949.387,1029.108398,16.01714286,33.21142857
2006,9,3933255.395,1024.580078,17.40045767,32.88100686
2006,10,2799792.184,1025.087036,22.05956113,33.81818182
2006,11,2635237.134,1023.514221,24.10175439,28.50877193
2006,12,4856887.314,1026.475464,20.40954274,26.33996024
2007,1,5358436.457,1029.835815,22.26642984,29.58081705
2007,2,4728787.937,1024.151855,19.87195122,27.18292683
2007,3,4184288.568,1025.986938,23.95505618,29.28539326
2007,4,5803186.117,1025.170044,18.88609715,27.55108878
2007,5,6160020.823,1025.679199,18.63157895,30.08513932
2007,6,5732228.16,1025.530762,16.79836066,30.98852459
2007,7,4041157.787,1024.937744,14.25576037,30.56221198
2007,8,4293935.961,1027.54126,13.74042553,32.91276596
